Region,Data item,2020-21,2021-22,2022-23,2023-24
Victoria,Parsley and other fresh herbs excluding fennel - Farm gate value ($m),68.1,73.8,87.2,76.7
Queensland,Parsley and other fresh herbs excluding fennel - Production (t),"5,714","4,871","4,786","4,530"
Queensland,Parsley and other fresh herbs excluding fennel - Farm gate value ($m),104.5,99.4,115.9,103.2
South Australia,Parsley and other fresh herbs excluding fennel - Production (t),261,"1,200","1,179","1,173"
South Australia,Parsley and other fresh herbs excluding fennel - Farm gate value ($m),4.8,35.6,42.0,26.7
Western Australia,Parsley and other fresh herbs excluding fennel - Production (t),236,463,455,453
Western Australia,Parsley and other fresh herbs excluding fennel - Farm gate value ($m),4.3,10.4,12.5,10.3
Tasmania,Parsley and other fresh herbs excluding fennel - Production (t),124,119,117,116
Tasmania,Parsley and other fresh herbs excluding fennel - Farm gate value ($m),2.3,2.4,2.8,2.6
Australia,Parsnips - Production (t),"3,538","3,580","3,593","3,600"
Australia,Parsnips - Farm gate value ($m),11.2,14.2,14.4,13.6
New South Wales,Parsnips - Production (t),174,176,176,177
New South Wales,Parsnips - Farm gate value ($m),0.6,0.7,0.7,0.7
Victoria,Parsnips - Production (t),"1,535","1,554","1,560","1,562"
Victoria,Parsnips - Farm gate value ($m),4.8,6.2,6.3,5.8
Queensland,Parsnips - Production (t),274,277,278,279
Queensland,Parsnips - Farm gate value ($m),0.9,1.1,1.1,1.1
South Australia,Parsnips - Production (t),258,261,262,263
South Australia,Parsnips - Farm gate value ($m),0.8,1.0,1.0,1.0
Western Australia,Parsnips - Production (t),909,920,923,925
Western Australia,Parsnips - Farm gate value ($m),2.9,3.6,3.7,3.5
Tasmania,Parsnips - Production (t),388,392,394,394
Tasmania,Parsnips - Farm gate value ($m),1.2,1.6,1.6,1.5
Australia,Peas - Production (t),"35,248","31,123","25,448","19,480"
Australia,Peas - Farm gate value ($m),63.2,70.1,64.9,42.1
New South Wales,Peas - Production (t),125,111,91,102
New South Wales,Peas - Farm gate value ($m),0.2,0.2,0.2,0.2
Victoria,Peas - Production (t),"2,398","2,117","1,731","1,944"
Victoria,Peas - Farm gate value ($m),4.3,4.8,4.4,4.2
Queensland,Peas - Production (t),580,512,419,470
Queensland,Peas - Farm gate value ($m),1.0,1.2,1.1,1.0
South Australia,Peas - Production (t),3,2,2,2
South Australia,Peas - Farm gate value ($m),0.0,0.0,0.0,0.0
Western Australia,Peas - Production (t),73,64,53,59
Western Australia,Peas - Farm gate value ($m),0.1,0.1,0.1,0.1
Tasmania,Peas - Production (t),"32,069","28,317","23,152","16,903"
Tasmania,Peas - Farm gate value ($m),57.6,63.8,59.1,36.6
Australia,Potatoes - Production (t),"1,458,991","1,462,066","1,462,975","1,530,163"
Australia,Potatoes - Farm gate value ($m),807.3,830.1,"1,033.5","1,104.0"
New South Wales,Potatoes - Production (t),"158,458","158,792","158,891","166,188"
New South Wales,Potatoes - Farm gate value ($m),87.7,90.2,112.2,119.9
Victoria,Potatoes - Production (t),"262,852","263,406","263,570","275,674"
Victoria,Potatoes - Farm gate value ($m),145.4,149.5,186.2,198.9
Queensland,Potatoes - Production (t),"80,739","80,909","80,960","84,678"
Queensland,Potatoes - Farm gate value ($m),44.7,45.9,57.2,61.1
South Australia,Potatoes - Production (t),"431,829","432,740","433,007","452,894"
South Australia,Potatoes - Farm gate value ($m),238.9,245.8,306.0,326.8
Western Australia,Potatoes - Production (t),"68,081","68,224","68,267","71,402"
Western Australia,Potatoes - Farm gate value ($m),37.7,38.7,48.2,51.5
Tasmania,Potatoes - Production (t),"457,032","457,995","458,280","479,327"
Tasmania,Potatoes - Farm gate value ($m),252.9,260.0,323.7,345.8
Australia,Pumpkins - Production (t),"115,982","112,895","118,278","119,665"
Australia,Pumpkins - Farm gate value ($m),89.4,106.5,94.1,100.9
New South Wales,Pumpkins - Production (t),"32,712","31,841","33,359","33,751"
New South Wales,Pumpkins - Farm gate value ($m),25.2,30.0,26.5,28.5
Victoria,Pumpkins - Production (t),"3,479","3,387","3,548","3,590"
Victoria,Pumpkins - Farm gate value ($m),2.7,3.2,2.8,3.0
Queensland,Pumpkins - Production (t),"55,091","53,625","56,183","56,841"
Queensland,Pumpkins - Farm gate value ($m),42.5,50.6,44.8,47.9
South Australia,Pumpkins - Production (t),"1,740","1,693","1,774","1,795"
South Australia,Pumpkins - Farm gate value ($m),1.3,1.6,1.4,1.5
Western Australia,Pumpkins - Production (t),"20,344","19,802","20,746","20,989"
Western Australia,Pumpkins - Farm gate value ($m),15.7,18.7,16.5,17.7
Tasmania,Pumpkins - Production (t),551,537,562,569
Tasmania,Pumpkins - Farm gate value ($m),0.4,0.5,0.4,0.5
Northern Territory,Pumpkins - Production (t),"2,065","2,010","2,106","2,130"
Northern Territory,Pumpkins - Farm gate value ($m),1.6,1.9,1.7,1.8
Australia,Sweet corn - Production (t),"77,090","74,685","76,296","79,690"
