Region,Data item,2020-21,2021-22,2022-23,2023-24
New South Wales,Mandarins - Farm gate value ($m),4.9,5.0,45.0,56.1
Victoria,Mandarins - Production (t),"28,227","31,210","25,515","30,938"
Victoria,Mandarins - Farm gate value ($m),55.0,57.2,47.3,59.1
Queensland,Mandarins - Production (t),"87,171","96,385","98,560","116,969"
Queensland,Mandarins - Farm gate value ($m),169.9,176.6,183.0,223.7
South Australia,Mandarins - Production (t),"41,510","45,898","41,160","41,971"
South Australia,Mandarins - Farm gate value ($m),80.9,84.1,76.4,80.2
Western Australia,Mandarins - Production (t),"6,642","7,344","8,960","8,470"
Western Australia,Mandarins - Farm gate value ($m),12.9,13.5,16.6,16.2
Australia,Mangoes - Production (t),"62,300","68,600","74,900","63,755"
Australia,Mangoes - Farm gate value ($m),201.0,217.9,207.9,220.7
New South Wales,Mangoes - Production (t),676,745,740,692
New South Wales,Mangoes - Farm gate value ($m),2.2,2.4,2.1,2.4
Victoria,Mangoes - Production (t),0,0,73,99
Victoria,Mangoes - Farm gate value ($m),0.0,0.0,0.2,0.3
Queensland,Mangoes - Production (t),"27,101","32,618","34,883","29,114"
Queensland,Mangoes - Farm gate value ($m),87.4,103.6,96.8,100.8
South Australia,Mangoes - Production (t),0,0,28,38
South Australia,Mangoes - Farm gate value ($m),0.0,0.0,0.1,0.1
Western Australia,Mangoes - Production (t),"1,121","2,060","2,501","1,763"
Western Australia,Mangoes - Farm gate value ($m),3.6,6.5,6.9,6.1
Northern Territory,Mangoes - Production (t),"33,402","33,177","36,675","32,049"
Northern Territory,Mangoes - Farm gate value ($m),107.8,105.4,101.8,111.0
Australia,Muskmelons - Production (t),"67,598","57,801","60,299","62,776"
Australia,Muskmelons - Farm gate value ($m),84.1,81.1,89.9,100.8
New South Wales,Muskmelons - Production (t),"21,631","18,496","19,296","20,088"
New South Wales,Muskmelons - Farm gate value ($m),26.9,26.0,28.8,32.3
Victoria,Muskmelons - Production (t),"2,028","1,734","1,809","1,883"
Victoria,Muskmelons - Farm gate value ($m),2.5,2.4,2.7,3.0
Queensland,Muskmelons - Production (t),"25,687","21,965","22,913","23,855"
Queensland,Muskmelons - Farm gate value ($m),31.9,30.8,34.1,38.3
South Australia,Muskmelons - Production (t),"1,352","1,156","1,206","1,256"
South Australia,Muskmelons - Farm gate value ($m),1.7,1.6,1.8,2.0
Western Australia,Muskmelons - Production (t),"9,464","8,092","8,442","8,789"
Western Australia,Muskmelons - Farm gate value ($m),11.8,11.4,12.6,14.1
Northern Territory,Muskmelons - Production (t),"7,436","6,358","6,633","6,905"
Northern Territory,Muskmelons - Farm gate value ($m),9.3,8.9,9.9,11.1
Australia,Nashi - Production (t),"1,100","1,551","1,435","1,679"
Australia,Nashi - Farm gate value ($m),4.5,6.5,5.7,6.4
New South Wales,Nashi - Production (t),33,47,43,50
New South Wales,Nashi - Farm gate value ($m),0.1,0.2,0.2,0.2
Victoria,Nashi - Production (t),923,"1,303","1,205","1,411"
Victoria,Nashi - Farm gate value ($m),3.8,5.5,4.7,5.4
South Australia,Nashi - Production (t),127,178,165,193
South Australia,Nashi - Farm gate value ($m),0.5,0.7,0.7,0.7
Western Australia,Nashi - Production (t),17,23,22,25
Western Australia,Nashi - Farm gate value ($m),0.1,0.1,0.1,0.1
Australia,Nectarines and peaches - Production (t),"85,798","81,084","62,202","72,813"
Australia,Nectarines and peaches - Farm gate value ($m),236.1,244.1,224.8,291.5
New South Wales,Nectarines and peaches - Production (t),"6,959","6,567","5,093","5,883"
New South Wales,Nectarines and peaches - Farm gate value ($m),19.1,19.8,19.0,23.6
Victoria,Nectarines and peaches - Production (t),"65,270","61,712","47,192","55,454"
Victoria,Nectarines and peaches - Farm gate value ($m),179.6,185.7,168.9,222.0
Queensland,Nectarines and peaches - Production (t),"3,582","3,377","2,634","3,022"
Queensland,Nectarines and peaches - Farm gate value ($m),9.9,10.2,10.0,12.1
South Australia,Nectarines and peaches - Production (t),"5,745","5,431","4,152","4,881"
South Australia,Nectarines and peaches - Farm gate value ($m),15.8,16.4,14.8,19.5
Western Australia,Nectarines and peaches - Production (t),"4,024","3,792","2,967","3,391"
Western Australia,Nectarines and peaches - Farm gate value ($m),11.1,11.4,11.4,13.6
Tasmania,Nectarines and peaches - Production (t),218,205,164,182
Tasmania,Nectarines and peaches - Farm gate value ($m),0.6,0.6,0.7,0.7
Australia,Olives - Production (t),"130,000","77,000","100,536","81,809"
Australia,Olives - Farm gate value ($m),161.2,95.5,124.7,101.4
New South Wales,Olives - Production (t),"11,180","6,622","8,646","7,036"
New South Wales,Olives - Farm gate value ($m),13.9,8.2,10.7,8.7
Victoria,Olives - Production (t),"89,895","53,246","69,521","56,571"
Victoria,Olives - Farm gate value ($m),111.4,66.1,86.2,70.2
Queensland,Olives - Production (t),936,554,724,589
Queensland,Olives - Farm gate value ($m),1.2,0.7,0.9,0.7
South Australia,Olives - Production (t),"14,170","8,393","10,958","8,917"
South Australia,Olives - Farm gate value ($m),17.6,10.4,13.6,11.1
Western Australia,Olives - Production (t),"13,650","8,085","10,556","8,590"
Western Australia,Olives - Farm gate value ($m),16.9,10.0,13.1,10.6
Tasmania,Olives - Production (t),169,100,131,106
Tasmania,Olives - Farm gate value ($m),0.2,0.1,0.2,0.1
Australia,Oranges - Production (t),"473,697","506,072","535,185","560,539"
Australia,Oranges - Farm gate value ($m),437.6,421.3,439.1,481.6
New South Wales,Oranges - Production (t),"246,322","263,158","315,875","337,260"
New South Wales,Oranges - Farm gate value ($m),227.4,219.1,259.1,289.8
Victoria,Oranges - Production (t),"87,634","93,623","74,270","80,465"
Victoria,Oranges - Farm gate value ($m),81.0,77.9,60.9,69.1
Queensland,Oranges - Production (t),"5,684","6,073","4,235","4,550"
Queensland,Oranges - Farm gate value ($m),5.3,5.1,3.5,3.9
South Australia,Oranges - Production (t),"120,793","129,048","119,140","122,183"
South Australia,Oranges - Farm gate value ($m),111.6,107.4,97.8,105.0
Western Australia,Oranges - Production (t),"13,264","14,170","21,665","16,081"
Western Australia,Oranges - Farm gate value ($m),12.3,11.8,17.8,13.8
Australia,Papaya/Pawpaw - Production (t),"21,160","19,370","21,760","20,576"
Australia,Papaya/Pawpaw - Farm gate value ($m),40.7,35.4,39.0,40.5
Queensland,Papaya/Pawpaw - Production (t),"17,986","16,464","18,496","17,490"
Queensland,Papaya/Pawpaw - Farm gate value ($m),34.6,30.1,33.2,34.5
Western Australia,Papaya/Pawpaw - Production (t),"1,693","1,550","1,741","1,646"
Western Australia,Papaya/Pawpaw - Farm gate value ($m),3.3,2.8,3.1,3.2
Northern Territory,Papaya/Pawpaw - Production (t),"1,481","1,356","1,523","1,440"
Northern Territory,Papaya/Pawpaw - Farm gate value ($m),2.8,2.5,2.7,2.8
Australia,Passionfruit - Production (t),"5,085","4,787","4,711","5,654"
Australia,Passionfruit - Farm gate value ($m),24.2,21.5,29.6,28.9
New South Wales,Passionfruit - Production (t),"1,762","1,660","1,633","1,959"
New South Wales,Passionfruit - Farm gate value ($m),8.4,7.4,10.3,10.1
Victoria,Passionfruit - Production (t),5,5,5,6
Victoria,Passionfruit - Farm gate value ($m),0.0,0.0,0.0,0.0
Queensland,Passionfruit - Production (t),"3,053","2,877","2,826","3,393"
Queensland,Passionfruit - Farm gate value ($m),14.6,13.0,17.8,17.4
South Australia,Passionfruit - Production (t),5,5,5,6
South Australia,Passionfruit - Farm gate value ($m),0.0,0.0,0.0,0.0
Western Australia,Passionfruit - Production (t),254,240,236,283
Western Australia,Passionfruit - Farm gate value ($m),1.2,1.1,1.5,1.4
Northern Territory,Passionfruit - Production (t),6,0,6,7
Northern Territory,Passionfruit - Farm gate value ($m),0.0,0.0,0.0,0.0
Australia,Pears - Production (t),"124,338","121,955","92,450","84,761"
Australia,Pears - Farm gate value ($m),140.4,131.6,126.1,125.6
New South Wales,Pears - Production (t),248,243,925,848
New South Wales,Pears - Farm gate value ($m),0.3,0.3,1.3,1.3
Victoria,Pears - Production (t),"112,507","110,352","74,882","68,656"
Victoria,Pears - Farm gate value ($m),127.0,119.0,102.1,101.6
Queensland,Pears - Production (t),339,332,925,848
Queensland,Pears - Farm gate value ($m),0.4,0.4,1.3,1.3
South Australia,Pears - Production (t),"5,677","5,568","8,321","7,628"
South Australia,Pears - Farm gate value ($m),6.4,6.0,11.3,11.3
Western Australia,Pears - Production (t),"4,396","4,311","6,472","5,933"
Western Australia,Pears - Farm gate value ($m),5.0,4.7,8.8,8.8
Tasmania,Pears - Production (t),"1,171","1,149",925,848
Tasmania,Pears - Farm gate value ($m),1.3,1.2,1.3,1.3
Australia,Persimmons - Production (t),"3,218","2,848","3,646","3,548"
Australia,Persimmons - Farm gate value ($m),12.8,14.2,17.1,18.1
New South Wales,Persimmons - Production (t),643,570,729,710
New South Wales,Persimmons - Farm gate value ($m),2.6,2.8,3.4,3.6
Victoria,Persimmons - Production (t),805,712,911,"1,241"
Victoria,Persimmons - Farm gate value ($m),3.2,3.6,4.3,6.4
Queensland,Persimmons - Production (t),"1,126",997,"1,277",710
Queensland,Persimmons - Farm gate value ($m),4.5,5.0,5.9,3.6
South Australia,Persimmons - Production (t),483,427,547,710
South Australia,Persimmons - Farm gate value ($m),1.9,2.1,2.6,3.6
Western Australia,Persimmons - Production (t),161,142,182,177
Western Australia,Persimmons - Farm gate value ($m),0.6,0.7,0.9,0.9
Australia,Pineapples - Production (t),"71,084","74,653","72,178","76,220"
Australia,Pineapples - Farm gate value ($m),46.8,66.7,76.0,84.6
Queensland,Pineapples - Production (t),"70,373","73,907","72,178","76,220"
Queensland,Pineapples - Farm gate value ($m),46.3,66.0,76.0,84.6
Northern Territory,Pineapples - Production (t),711,746,0,0
Northern Territory,Pineapples - Farm gate value ($m),0.5,0.7,0.0,0.0
Australia,Plums - Production (t),"32,924","31,798","24,045","27,905"
Australia,Plums - Farm gate value ($m),77.6,78.6,66.9,71.4
New South Wales,Plums - Production (t),"6,231","6,018","4,551","5,282"
New South Wales,Plums - Farm gate value ($m),14.7,14.9,12.7,13.5
Victoria,Plums - Production (t),"16,702","16,131","12,198","14,154"
Victoria,Plums - Farm gate value ($m),39.4,39.8,33.9,36.2
Queensland,Plums - Production (t),"1,667","1,610","1,217","1,413"
Queensland,Plums - Farm gate value ($m),3.9,4.0,3.4,3.6
South Australia,Plums - Production (t),"1,700","1,642","1,241","1,441"
South Australia,Plums - Farm gate value ($m),4.0,4.1,3.5,3.7
Western Australia,Plums - Production (t),"6,532","6,309","4,771","5,537"
Western Australia,Plums - Farm gate value ($m),15.4,15.6,13.2,14.2
Tasmania,Plums - Production (t),92,88,67,78
Tasmania,Plums - Farm gate value ($m),0.2,0.2,0.2,0.2
Australia,Rubus berries - Production (t),"11,123","9,632","10,781","13,386"
Australia,Rubus berries - Farm gate value ($m),227.2,205.3,221.3,290.3
New South Wales,Rubus berries - Production (t),"2,533","2,193","2,455","3,048"
New South Wales,Rubus berries - Farm gate value ($m),51.7,46.8,50.3,66.1
Victoria,Rubus berries - Production (t),"2,863","2,480","2,775","3,446"
Victoria,Rubus berries - Farm gate value ($m),58.5,52.9,57.0,74.8
Queensland,Rubus berries - Production (t),"1,762","1,526","1,709","2,121"
Queensland,Rubus berries - Farm gate value ($m),36.0,32.5,35.1,46.0
South Australia,Rubus berries - Production (t),220,191,213,265
South Australia,Rubus berries - Farm gate value ($m),4.5,4.1,4.4,5.7
Western Australia,Rubus berries - Production (t),551,477,534,663
Western Australia,Rubus berries - Farm gate value ($m),11.3,10.2,11.0,14.4
Tasmania,Rubus berries - Production (t),"3,194","2,765","3,095","3,843"
